measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
5,4,EK,25587,500,0.5,62366,100,10,12291,1.69478
6,4,EK,25587,500,0.5,62366,100,10,12291,1.71597
7,4,EK,25587,500,0.5,62366,100,10,12291,1.71773
8,4,EK,25587,500,0.5,62366,100,10,12291,1.71956
9,4,EK,25587,500,0.5,62366,100,10,12291,1.72262
10,4,EK,25587,500,0.5,62366,100,10,12291,1.71865
11,4,EK,25587,500,0.5,62366,100,10,12291,1.71912
12,4,EK,25587,500,0.5,62366,100,10,12291,1.65347
13,4,EK,25587,500,0.5,62366,100,10,12291,1.71906
14,4,EK,25587,500,0.5,62366,100,10,12291,1.72009
15,4,EK,25587,500,0.5,62366,100,10,12291,1.65463
16,4,EK,25587,500,0.5,62366,100,10,12291,1.66082
17,4,EK,25587,500,0.5,62366,100,10,12291,1.65988
18,4,EK,25587,500,0.5,62366,100,10,12291,1.69759
19,4,EK,25587,500,0.5,62366,100,10,12291,1.71602
20,4,EK,25587,500,0.5,62366,100,10,12291,1.63997
21,4,EK,25587,500,0.5,62366,100,10,12291,1.72001
22,4,EK,25587,500,0.5,62366,100,10,12291,1.71683
23,4,EK,25587,500,0.5,62366,100,10,12291,1.71744
24,4,EK,25587,500,0.5,62366,100,10,12291,1.65384
25,4,EK,25587,500,0.5,62366,100,10,12291,1.72302
26,4,EK,25587,500,0.5,62366,100,10,12291,1.71816
27,4,EK,25587,500,0.5,62366,100,10,12291,1.71998
28,4,EK,25587,500,0.5,62366,100,10,12291,1.66015
29,4,EK,25587,500,0.5,62366,100,10,12291,1.65337
30,4,EK,25587,500,0.5,62366,100,10,12291,1.68903
1,4,MPM,25587,500,0.5,62366,100,10,12291,0.136866
2,4,MPM,25587,500,0.5,62366,100,10,12291,0.13604
3,4,MPM,25587,500,0.5,62366,100,10,12291,0.137589
4,4,MPM,25587,500,0.5,62366,100,10,12291,0.137241
5,4,MPM,25587,500,0.5,62366,100,10,12291,0.136164
6,4,MPM,25587,500,0.5,62366,100,10,12291,0.138832
7,4,MPM,25587,500,0.5,62366,100,10,12291,0.136336
8,4,MPM,25587,500,0.5,62366,100,10,12291,0.135851
9,4,MPM,25587,500,0.5,62366,100,10,12291,0.136533
10,4,MPM,25587,500,0.5,62366,100,10,12291,0.13558
11,4,MPM,25587,500,0.5,62366,100,10,12291,0.136966
12,4,MPM,25587,500,0.5,62366,100,10,12291,0.136358
13,4,MPM,25587,500,0.5,62366,100,10,12291,0.136721
14,4,MPM,25587,500,0.5,62366,100,10,12291,0.136445
15,4,MPM,25587,500,0.5,62366,100,10,12291,0.136602
16,4,MPM,25587,500,0.5,62366,100,10,12291,0.136481
17,4,MPM,25587,500,0.5,62366,100,10,12291,0.135991
18,4,MPM,25587,500,0.5,62366,100,10,12291,0.136129
19,4,MPM,25587,500,0.5,62366,100,10,12291,0.136328
20,4,MPM,25587,500,0.5,62366,100,10,12291,0.136006
21,4,MPM,25587,500,0.5,62366,100,10,12291,0.137274
22,4,MPM,25587,500,0.5,62366,100,10,12291,0.136641
23,4,MPM,25587,500,0.5,62366,100,10,12291,0.137526
24,4,MPM,25587,500,0.5,62366,100,10,12291,0.136261
25,4,MPM,25587,500,0.5,62366,100,10,12291,0.136662
26,4,MPM,25587,500,0.5,62366,100,10,12291,0.137296
27,4,MPM,25587,500,0.5,62366,100,10,12291,0.136577
28,4,MPM,25587,500,0.5,62366,100,10,12291,0.136311
29,4,MPM,25587,500,0.5,62366,100,10,12291,0.136075
30,4,MPM,25587,500,0.5,62366,100,10,12291,0.136266
1,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0936024
2,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0935041
3,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0930336
4,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0930258
5,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0938106
6,5,Dinic,12277,500,0.5,62531,100,10,12023,0.093521
7,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0932696
8,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0933584
9,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0931788
10,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0934622
11,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0932641
12,5,Dinic,12277,500,0.5,62531,100,10,12023,0.093147
13,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0933982
14,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0931682
15,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0934446
16,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0931983
17,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0932753
18,5,Dinic,12277,500,0.5,62531,100,10,12023,0.093196
19,5,Dinic,12277,500,0.5,62531,100,10,12023,0.093303
20,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0932376
21,5,Dinic,12277,500,0.5,62531,100,10,12023,0.093445
22,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0931899
23,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0933575
24,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0936287
25,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0931616
26,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0932115
27,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0935315
28,5,Dinic,12277,500,0.5,62531,100,10,12023,0.093458
29,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0934474
30,5,Dinic,12277,500,0.5,62531,100,10,12023,0.0932874
1,5,EK,12277,500,0.5,62531,100,10,12023,2.13601
2,5,EK,12277,500,0.5,62531,100,10,12023,2.14818
3,5,EK,12277,500,0.5,62531,100,10,12023,2.14945
4,5,EK,12277,500,0.5,62531,100,10,12023,2.22144
5,5,EK,12277,500,0.5,62531,100,10,12023,2.18628
